byte,t1,t2,t3,t4,t5,t6
0,-1,1,0,0,-1,1
1,0,-1,1,-1,1,0
2,0,-1,1,0,-1,1
3,0,-1,1,1,0,-1
4,-1,1,0,1,0,-1
5,1,0,-1,-1,1,0
6,1,0,-1,0,-1,1
7,1,0,-1,1,0,-1
8,-1,1,0,0,1,-1
9,0,-1,1,1,-1,0
10,0,-1,1,0,1,-1
11,0,-1,1,-1,0,1
12,-1,1,0,-1,0,1
13,1,0,-1,1,-1,0
14,1,0,-1,0,1,-1
15,1,0,-1,-1,0,1
16,0,-1,-1,1,0,1
17,-1,0,-1,0,1,1
18,-1,0,-1,1,0,1
19,-1,0,-1,1,1,0
20,0,-1,-1,1,1,0
21,-1,-1,0,0,1,1
22,-1,-1,0,1,0,1
23,-1,-1,0,1,1,0
24,-1,1,0,-1,1,0
25,1,-1,0,-1,1,0
26,-1,1,1,-1,1,0
27,1,0,0,-1,1,0
28,1,0,0,1,-1,0
29,-1,1,1,1,-1,0
30,1,-1,0,1,-1,0
31,-1,1,0,1,-1,0
32,-1,1,1,-1,0,0
33,1,0,0,1,-1,-1
34,-1,1,0,-1,1,1
35,1,-1,0,-1,1,1
36,1,-1,0,1,0,0
37,-1,1,0,1,0,0
38,1,0,0,-1,0,0
39,-1,1,1,1,-1,-1
40,0,1,1,-1,0,-1
41,1,0,1,0,-1,-1
42,1,0,1,-1,0,-1
43,1,0,1,-1,-1,0
44,0,1,1,-1,-1,0
45,1,1,0,0,-1,-1
46,1,1,0,-1,0,-1
47,1,1,0,-1,-1,0
48,1,-1,0,0,-1,1
49,0,1,-1,-1,1,0
50,0,1,-1,0,-1,1
51,0,1,-1,1,0,-1
52,1,-1,0,1,0,-1
53,-1,0,1,-1,1,0
54,-1,0,1,0,-1,1
55,-1,0,1,1,0,-1
56,1,-1,0,0,1,-1
57,0,1,-1,1,-1,0
58,0,1,-1,0,1,-1
59,0,1,-1,-1,0,1
60,1,-1,0,-1,0,1
61,-1,0,1,1,-1,0
62,-1,0,1,0,1,-1
63,-1,0,1,-1,0,1
64,-1,0,0,1,0,1
65,0,-1,0,0,1,1
66,0,-1,0,1,0,1
67,0,-1,0,1,1,0
68,-1,0,0,1,1,0
69,0,0,-1,0,1,1
70,0,0,-1,1,0,1
71,0,0,-1,1,1,0
72,0,0,1,0,0,0
73,1,1,-1,0,0,0
74,1,-1,1,0,0,0
75,-1,1,1,0,0,0
76,0,1,-1,0,0,0
77,1,0,-1,0,0,0
78,0,-1,1,0,0,0
79,-1,0,1,0,0,0
80,1,-1,-1,1,0,1
81,-1,1,-1,0,1,1
82,-1,1,-1,1,0,1
83,-1,1,-1,1,1,0
84,1,-1,-1,1,1,0
85,-1,-1,1,0,1,1
86,-1,-1,1,1,0,1
87,-1,-1,1,1,1,0
88,-1,-1,0,1,1,1
89,-1,0,-1,1,1,1
90,0,-1,-1,1,1,1
91,0,-1,-1,0,1,1
92,1,-1,-1,0,1,1
93,-1,0,0,0,1,1
94,0,1,1,1,-1,-1
95,0,1,1,-1,0,0
96,0,1,1,0,-1,0
97,1,0,1,-1,0,0
98,1,0,1,0,-1,0
99,1,0,1,0,0,-1
100,0,1,1,0,0,-1
101,1,1,0,-1,0,0
102,1,1,0,0,-1,0
103,1,1,0,0,0,-1
104,0,1,1,-1,1,-1
105,1,0,1,1,-1,-1
106,1,0,1,-1,1,-1
107,1,0,1,-1,-1,1
108,0,1,1,-1,-1,1
109,1,1,0,1,-1,-1
110,1,1,0,-1,1,-1
111,1,1,0,-1,-1,1
112,0,0,0,1,1,-1
113,0,0,0,1,-1,1
114,0,0,0,-1,1,1
115,0,0,0,1,0,0
116,0,0,0,1,0,-1
117,0,0,0,1,-1,0
118,0,0,0,-1,0,1
119,0,0,0,-1,1,0
120,1,1,1,-1,-1,0
121,1,1,1,-1,0,-1
122,1,1,1,0,-1,-1
123,0,1,1,0,-1,-1
124,-1,0,0,-1,1,1
125,-1,0,0,1,0,0
126,1,-1,-1,-1,1,1
127,1,-1,-1,1,0,0
128,-1,0,0,1,-1,1
129,0,-1,0,-1,1,1
130,0,-1,0,1,-1,1
131,0,-1,0,1,1,-1
132,-1,0,0,1,1,-1
133,0,0,-1,-1,1,1
134,0,0,-1,1,-1,1
135,0,0,-1,1,1,-1
136,-1,0,0,0,1,0
137,0,-1,0,1,0,0
138,0,-1,0,0,1,0
139,0,-1,0,0,0,1
140,-1,0,0,0,0,1
141,0,0,-1,1,0,0
142,0,0,-1,0,1,0
143,0,0,-1,0,0,1
144,1,-1,-1,1,-1,1
145,-1,1,-1,-1,1,1
146,-1,1,-1,1,-1,1
147,-1,1,-1,1,1,-1
148,1,-1,-1,1,1,-1
149,-1,-1,1,-1,1,1
150,-1,-1,1,1,-1,1
151,-1,-1,1,1,1,-1
152,1,-1,-1,0,1,0
153,-1,1,-1,1,0,0
154,-1,1,-1,0,1,0
155,-1,1,-1,0,0,1
156,1,-1,-1,0,0,1
157,-1,-1,1,1,0,0
158,-1,-1,1,0,1,0
159,-1,-1,1,0,0,1
160,-1,1,1,0,-1,0
161,1,-1,1,-1,0,0
162,1,-1,1,0,-1,0
163,1,-1,1,0,0,-1
164,-1,1,1,0,0,-1
165,1,1,-1,-1,0,0
166,1,1,-1,0,-1,0
167,1,1,-1,0,0,-1
168,-1,1,1,-1,1,-1
169,1,-1,1,1,-1,-1
170,1,-1,1,-1,1,-1
171,1,-1,1,-1,-1,1
172,-1,1,1,-1,-1,1
173,1,1,-1,1,-1,-1
174,1,1,-1,-1,1,-1
175,1,1,-1,-1,-1,1
176,1,0,0,0,-1,0
177,0,1,0,-1,0,0
178,0,1,0,0,-1,0
179,0,1,0,0,0,-1
180,1,0,0,0,0,-1
181,0,0,1,-1,0,0
182,0,0,1,0,-1,0
183,0,0,1,0,0,-1
184,1,0,0,-1,1,-1
185,0,1,0,1,-1,-1
186,0,1,0,-1,1,-1
187,0,1,0,-1,-1,1
188,1,0,0,-1,-1,1
189,0,0,1,1,-1,-1
190,0,0,1,-1,1,-1
191,0,0,1,-1,-1,1
192,-1,1,0,1,-1,1
193,0,-1,1,-1,1,1
194,0,-1,1,1,-1,1
195,0,-1,1,1,1,-1
196,-1,1,0,1,1,-1
197,1,0,-1,-1,1,1
198,1,0,-1,1,-1,1
199,1,0,-1,1,1,-1
200,-1,1,0,0,1,0
201,0,-1,1,1,0,0
202,0,-1,1,0,1,0
203,0,-1,1,0,0,1
204,-1,1,0,0,0,1
205,1,0,-1,1,0,0
206,1,0,-1,0,1,0
207,1,0,-1,0,0,1
208,1,-1,0,1,-1,1
209,0,1,-1,-1,1,1
210,0,1,-1,1,-1,1
211,0,1,-1,1,1,-1
212,1,-1,0,1,1,-1
213,-1,0,1,-1,1,1
214,-1,0,1,1,-1,1
215,-1,0,1,1,1,-1
216,1,-1,0,0,1,0
217,0,1,-1,1,0,0
218,0,1,-1,0,1,0
219,0,1,-1,0,0,1
220,1,-1,0,0,0,1
221,-1,0,1,1,0,0
222,-1,0,1,0,1,0
223,-1,0,1,0,0,1
224,-1,1,1,0,-1,1
225,1,-1,1,-1,1,0
226,1,-1,1,0,-1,1
227,1,-1,1,1,0,-1
228,-1,1,1,1,0,-1
229,1,1,-1,-1,1,0
230,1,1,-1,0,-1,1
231,1,1,-1,1,0,-1
232,-1,1,1,0,1,-1
233,1,-1,1,1,-1,0
234,1,-1,1,0,1,-1
235,1,-1,1,-1,0,1
236,-1,1,1,-1,0,1
237,1,1,-1,1,-1,0
238,1,1,-1,0,1,-1
239,1,1,-1,-1,0,1
240,1,0,0,0,-1,1
241,0,1,0,-1,1,0
242,0,1,0,0,-1,1
243,0,1,0,1,0,-1
244,1,0,0,1,0,-1
245,0,0,1,-1,1,0
246,0,0,1,0,-1,1
247,0,0,1,1,0,-1
248,1,0,0,0,1,-1
249,0,1,0,1,-1,0
250,0,1,0,0,1,-1
251,0,1,0,-1,0,1
252,1,0,0,-1,0,1
253,0,0,1,1,-1,0
254,0,0,1,0,1,-1
255,0,0,1,-1,0,1
